Index,Title,Text,Label
0,"South Sudan's Chief Justice, Family Refused Testing For COVID-19","Breaking News!! South Sudan is due to announce the second case of #COVID19, as son to Chief Justice, is in critical condition!!  Brother Kuel Reech Madut, has developed symptoms relating to the entire COVID19 pandemic. According to the family members, Madam Mary Athuoi Madut says, our brother has been in critical condition since his arrival from the UK last month but today developed symptoms like cough, fever, shortness of breath (sic)",FAKE
1,Facemask Video Ad Claims Stock Image Personnel As Virus Infected Family,"Get it before it's too late!.I'm devastated right now but at the same time I couldn't stop thinking I narrowly escaped death, thanks to FilterMax.",FAKE
2,Neem Leaves Can Treat The Novel Coronavirus,"My dear friends, my Indian employee said using this leaf and turmeric powder for shower can prevent the virus! Let's try! Because up to now, in Malaysia no Indians have been infected with the virus. Hope it really works! The leaf is called Daun semambu in Malay... Indians call it Daun Nim... Not joking.",FAKE
3,Congress Tweets Video Of Man Eating Leftovers From Railway Tracks,Difference of Humanity. BJP turned its back on poor countrymen yearning for food during Corona crisis but Congress converted its headquarters into kitchens for countrymen during these trying times.,FAKE
4,Migrants Attacking For Money In Delhi,"The incident is from Baljeet Nagar and the accused are local residents.A disturbing footage of a man being attacked and robbed in broad daylight is being shared with false claims that the accused are migrants robbing and killing a man for money.The video shows two men follow the victim and suddenly attack him - while one him holds him in a neck grip, the other robs his belongings. They then flee from the scene, leaving the man in an unconscious state in the narrow lane.Pl don't go out during nights as some labours / migrants / poor people are killing innocent people for Money / Jewellery.. as there is cash crunch in the market. This kind of incidents are bound to happen in near future very frequently....as there is no money rotation across country n daily labours have no cash in hand.",FAKE
5,Vaccines For Babies,"In the first six years of life your child receives the following. The list is posted alongside a picture of a baby doll with 20 medical syringes injected into it. The claim also circulated in French and Dutch.  It claims that a list of 26 substances, some said to be ""carcinogenic"" or ""toxic,"" will be administered to children six years old and younger through vaccination.",FAKE
6,"Saudi Arabia, UAE mosques to stay closed for Eid prayers.","Mosques will remain closed for prayers on the Eid Al-Fitr festival, Saudi and United Arab Emirates officials said on Friday, calling on the population to adhere to safety guidelines to avoid the spread of the novel coronavirus. The Eid, which marks the end of the holy fasting month of Ramadan, may fall on Saturday or Sunday in the Gulf region . Saudi Islamic Affairs Minister Abdullatif al-Sheikh gave instructions not to have Eid prayers in mosques, Saudi state TV quoted him as saying. “Muslims will hold the Eid prayer at home because of the pandemic,” the Saudi Press Agency cited Sheikh Abdul Bari al-Thubaiti, the imam, or the prayer leader, of the Prophet's Mosque in Medina, as saying in the Friday sermon. During Ramadan, prayers without worshippers were held by the imams in the two holy mosques of Mecca and Medina, in the west of the kingdom. In the UAE, the Dubai government's media office said on Twitter that mosques will remain closed, and listed a series of Eid customs that should not be observed, including family visits and giving gifts or money to children.",REAL
7,Pakistan passenger plane with 107 on board crashes near Karachi ,"Many people are feared dead after a Pakistan International Airlines (PIA) plane with 107 people on board crashed into a densely populated residential area near the Jinnah International Airport in Karachi on Friday, according to officials. Flight PK-303 from Lahore was about to land in Karachi when it crashed at the Jinnah Garden area near Model Colony in Malir, just a minute before its landing, they said. The PIA Airbus A320 carrying 99 passengers and eight crew members has crashed into the Jinnah housing society located near the airport, a spokesperson of the national airline said. “The captain informed the air traffic tower he is having problems with the landing gear before disappearing from the radar, he said. The flight PK-303 was coming from Lahore to Karachi after the Civil Aviation Authority (CAA) allowed limited reception of domestic flights just few days back after weeks of lockdown due to the coronavirus (COVID-19) pandemic. Television channels showed several houses and cars damaged in the society where the aircraft crashed. Rescue and police officials confirmed that at least four bodies have been recovered from damaged houses so far while several injured people were also being taken to hospitals. “It is too early to say how many people have died in this tragic accident but... it will be a miracle if the passengers and crew members have survived this horrible landing,” a senior police official said on condition of anonymity. This is the first major aircraft crash in Pakistan after December 7, 2016, when a PIA ATR-42 aircraft from Chitral to Islamabad crashed midway. The crash had claimed the lives of all 48 passengers and crew, including singer-cum-evangelist Junaid Jamshed.  “All  my prayers are with the families. We will continue to provide information in a transparent manner,” PIA spokesperson Abdullah Hafeez was quoted as saying by the Dawn newspaper. Footage showed plumes of smoke rising from the site of the crash. Ambulances and rescue officials arrived at the scene to help residents.  A statement by the Pakistan Army’s media wing Inter-Services Public Relations (ISPR) said that Army Quick Reaction Force and Sindh Pakistan Rangers reached the spot for carrying out rescue and relief operations alongside civil administration. The Pakistan Army and the Air Force have sent their teams for carrying out rescue and relief operations, the CAA said. The PIA aircraft was flown by Captain Sajjad Gul. A resident of the colony who witnessed the crash told Ary News channel that the aircraft had fire coming from its wings which crashed into rooftops of some houses before it crash landed.",REAL
8,Fire engulfs over 200 houses in Kirti Nagar,"Over 200 houses were gutted in a major fire that broke out at a JJ cluster in west Delhi’s Kirti Nagar on Thursday night. Officials said that no casualty was reported in the incident. According to the Delhi Fire Service (DFS), a total of 30 fire tenders were pressed into service. The fire was brought under control and a cooling operation was undertaken following that. “We got a call regarding a fire at a JJ cluster in Kirti Nafar at 11.30 p.m. A team of firefighters rushed to the location and later more staff and engines from other stations had to be pressed into service,” said a DFS official. During the operation, the fire also led to minor explosions of small LPG cylinders. The flames were doused by 3 a.m., the officials said. The cause of the fire was yet to be ascertained, they added. In another incident, a 50-year-old man died after his car caught fire on a flyover in Mangolpuri area here, the police said on Friday.  The deceased has been identified as Ram Kishan, a resident of Karala, they said. On Thursday, the police were informed that a car had caught fire on a flyover. The vehicle was later found on a flyover near Kali Mata Mandir, Outer Ring Road, a senior police officer said.  The body of the driver was found inside the car. He was declared brought dead after he was rushed to a hospital, the officer said. The vehicle was carrying some plastic material. It has a CNG kit and the cause of fire was yet to be ascertained, they said. A case under relevant sections of the IPC has been registered at Mangolpuri police station and an investigation is under way, the police added.",REAL
9,H-1B legislations introduced in Congress to give priority to U.S.-educated foreign youths,"A bipartisan group of lawmakers introduced a legislation in both the chambers of the U.S. Congress proposing major reforms in skilled non-immigrant visa programmes by giving priority to U.S.-educated foreign technology professionals in issuing H-1B work visas. The H-1B and L-1 Visa Reform Act, as introduced in House of Representatives and Senate, will require U.S. Citizenship and Immigration Services to prioritise for the first time the annual allocation of H-1B visas. The new system would ensure that the best and brightest students being educated in the United States receive preference for an H-1B visa, including advanced degree holders, those being paid a high wage, and those with valuable skills, proponents of this major legislative reforms said Friday. In the Senate, it was introduced by Senators Chuck Grassley and Dick Durbin. In the House of Representatives, it was introduced by Congressmen Bill Pascrell, Paul Gosar, Ro Khanna, Frank Pallone and Lance Gooden. The legislation reinstates Congress’s original intent in the H-1B and L-1 visa programmes by increasing enforcement, modifying wage requirements and securing protections for both American workers and visa holders, the lawmakers said. The legislation, among other things, explicitly prohibits the replacement of American workers by H-1B or L-1 visa holders, clarifying that working conditions of similarly employed American workers may not be adversely affected by the hiring of an H-1B worker, including H-1B workers who have been placed by another employer at the American worker’s worksite. These provisions address the types of abuses that have been well-documented. Importantly, the legislation proposes increased crackdown on outsourcing companies that import large numbers of H-1B and L-1 workers for temporary training purposes only to send the workers back to their home countries to do the same job. Specifically, the bill would prohibit companies with more than 50 employees, of which at least half are H-1B or L-1 holders, from hiring additional H-1B employees. The bill gives the U.S. Department of Labor enhanced authority to review, investigate, and audit employer compliance with programme requirements, as well as to penalise fraudulent or abusive conduct. It requires the production of extensive statistical data about the H-1B and L-1 programs, including wage data, worker education levels, place of employment, and gender. In addition, the H-1B and L-1 Visa Reform Act encompasses several reforms of the L-1 visa programme, including establishment of a wage floor for L-1 workers; authority for the U.S. Department of Homeland Security to investigate, audit, and enforce compliance with L-1 program requirements; assurance that intra-company transfers occur between legitimate branches of a company and don’t involve shell facilities; and a change to the definition of specialised knowledge to ensure that L-1 visas are reserved only for truly key personnel. Asserting that Congress created these programmes to complement America’s high-skilled workforce, not replace it, Mr. Grassley said that unfortunately, some companies are trying to exploit the programmes by cutting American workers for cheaper labour.",REAL
